Cycle,Stress,Cycle,Stress,Cycle,Stress
0,0.00635,78537,445.0322102,118038,464.6484519
1,444.6530339,78538,445.0322102,118039,464.6484519
2,444.6530339,78539,445.0322102,118040,464.6484519
3,444.6530339,78540,445.0322102,118041,464.6484519
4,444.6530339,78541,445.0322102,118042,464.6484519
5,444.6530339,78542,445.0322102,118043,464.6484519
6,444.6530339,78543,445.0322102,118044,464.6484519
7,444.6530339,78544,445.0322102,118045,464.6484519
8,444.6530339,78545,445.0322102,118046,464.6484519
9,444.6530339,78546,445.0322102,118047,464.6484519
10,444.6530339,78547,445.0322102,118048,464.6484519
11,444.6530339,78548,445.0322102,118049,464.6484519
12,444.6530339,78549,445.0322102,118050,464.6484519
13,444.6530339,78550,445.0322102,118051,464.6484519
14,444.6530339,78551,445.0322102,118052,464.6484519
15,444.6530339,78552,445.0322102,118053,464.6484519
16,444.6530339,78553,445.0322102,118054,464.6484519
17,444.6530339,78554,445.0322102,118055,464.6484519
18,444.6530339,78555,445.0322102,118056,464.6484519
19,444.6530339,78556,445.0322102,118057,464.6484519
20,444.6530339,78557,445.0322102,118058,464.6484519
21,444.6530339,78558,445.0322102,118059,464.6484519
22,444.6530339,78559,445.0322102,118060,464.6484519
23,444.6530339,78560,445.0322102,118061,464.6484519
24,444.6530339,78561,445.0322102,118062,464.6484519
25,444.6530339,78562,445.0322102,118063,464.6484519
26,444.6530339,78563,445.0322102,118064,464.6484519
27,444.6530339,78564,445.0322102,118065,464.6484519
28,444.6530339,78565,445.0322102,118066,464.6484519
29,444.6530339,78566,445.0322102,118067,464.6484519
30,444.6530339,78567,445.0322102,118068,464.6484519
31,444.6530339,78568,445.0322102,118069,464.6484519
32,444.6530339,78569,445.0322102,118070,464.6484519
33,444.6530339,78570,445.0322102,118071,464.6484519
34,444.6530339,78571,445.0322102,118072,464.6484519
35,444.6530339,78572,445.0322102,118073,464.6484519
36,444.6530339,78573,445.0322102,118074,464.6484519
37,444.6530339,78574,445.0322102,118075,464.6484519
38,444.6530339,78575,445.0322102,118076,464.6484519
39,444.6530339,78576,445.0322102,118077,464.6484519
40,444.6530339,78577,445.0322102,118078,464.6484519
41,444.6530339,78578,445.0322102,118079,464.6484519
42,444.6530339,78579,445.0322102,118080,464.6484519
43,444.6530339,78580,445.0322102,118081,464.6484519
44,444.6530339,78581,445.0322102,118082,464.6484519
45,444.6530339,78582,445.0322102,118083,464.6484519
46,444.6530339,78583,445.0322102,118084,464.6484519
47,444.6530339,78584,445.0322102,118085,464.6484519
48,444.6530339,78585,445.0322102,118086,464.6484519
49,444.6530339,78586,445.0322102,118087,464.6484519
50,444.6530339,78587,445.0322102,118088,464.6484519
51,444.6530339,78588,445.0322102,118089,464.6484519
52,444.6530339,78589,445.0322102,118090,464.6484519
53,444.6530339,78590,445.0322102,118091,464.6484519
54,444.6530339,78591,445.0322102,118092,464.6484519
55,444.6530339,78592,445.0322102,118093,464.6484519
56,444.6530339,78593,445.0322102,118094,464.6484519
57,444.6530339,78594,445.0322102,118095,464.6484519
58,444.6530339,78595,445.0322102,118096,464.6484519
59,444.6530339,78596,445.0322102,118097,464.6484519
